country,new_cases,tests_done,population,testing_rate,positivity_rate,Week,deaths,weekly_cfr,population_ce,testing_rate_ce,tests_done_ce,new_cases_ce,deaths_ce,positivity_rate_ce
Belgium,637,85012,11455519,742.1051808999999,0.74930598,27,28,0.04395604395604396,-0.2538486167204342,-0.11225875883006553,-0.13738635184231454,-0.3132942971969963,-0.23583328667407563,-0.503875498073573
Belgium,685,77973,11455519,680.6588161000001,0.878509228,28,11,0.016058394160583942,-0.2538486167204342,-0.1610661607045589,-0.16706718002078885,-0.3089080634641149,-0.258981713917286,-0.48132573412032126
Belgium,1364,86865,11455519,758.2807902000001,1.5702526909999999,29,22,0.016129032258064516,-0.2538486167204342,-0.09941032644127268,-0.12957294445281137,-0.24686113211773028,-0.2440033198187381,-0.36059617005506717
Belgium,2369,99622,11455519,869.6419604,2.377988798,30,14,0.0059096665259603205,-0.2538486167204342,-0.010955144351065992,-0.07578145062232457,-0.1550243633355262,-0.2548966973449548,-0.21962248068335355
Belgium,3795,145338,11455519,1268.7159789999998,2.611154688,31,17,0.0044795783926218705,-0.2538486167204342,0.30603294870988074,0.11698580907466806,-0.024716669521174923,-0.2508116807726235,-0.1789281803245123
Belgium,4366,141302,11455519,1233.484053,3.0898359539999998,32,30,0.006871278057718736,-0.2538486167204342,0.2780479120573234,0.09996750782046686,0.0274612359262266,-0.23310994229252147,-0.09538423135858776
Belgium,3741,127215,11455519,1110.512758,2.940690956,33,73,0.019513499064421277,-0.2538486167204342,0.1803707031023701,0.040567901832376574,-0.029651182470666487,-0.17455803808910694,-0.1214144167584795
Belgium,3470,137022,11455519,1196.122149,2.532440046,34,46,0.013256484149855908,-0.2538486167204342,0.24837101466461967,0.08192034989975794,-0.05441512708755933,-0.21132318724008814,-0.19266619871213606
Belgium,3119,145319,11455519,1268.5501199999999,2.146312595,35,30,0.009618467457518435,-0.2538486167204342,0.30590120540995,0.1169056931867023,-0.08648946125925448,-0.23310994229252147,-0.26005678688001843
Belgium,3617,159252,11455519,1390.177084,2.271243061,36,16,0.004423555432679016,-0.2538486167204342,0.40251060012425793,0.17565593881970165,-0.04098228628061008,-0.2521733529634006,-0.23825274895931742
